theta_1,theta_2,theta_3,theta_4
115,120,24,120
120,108,12,60
15,120,60,120
90,120,0,72
30,120,0,0
10,120,36,108
75,120,48,48
70,108,24,72
10,120,24,72
50,120,36,48
70,120,36,96
15,120,12,108
105,120,0,12
20,108,12,72
50,120,0,48
70,108,12,120
80,108,12,120
45,120,36,96
105,120,36,108
55,108,24,84
90,120,48,120
115,120,36,84
115,120,60,72
60,120,12,120
20,120,60,72
85,120,0,36
95,120,60,120
35,108,36,72
40,120,24,120
25,120,0,36
110,120,24,84
40,120,24,108
90,96,12,84
95,120,60,96
45,120,0,48
60,120,0,108
95,108,12,108
110,96,0,120
100,96,12,120
5,120,48,72
80,120,0,12
120,120,12,72
105,108,12,96
115,120,24,60
0,96,0,120
40,120,72,108
0,120,24,72
95,120,0,108
10,120,48,96
100,96,12,72
105,120,0,120
110,120,24,48
30,120,48,48
105,120,48,108
80,120,36,36
65,120,0,96
115,120,24,12
35,120,48,108
120,120,36,60
65,120,24,72
35,120,36,120
60,120,12,12
45,120,12,108
65,96,12,72
95,96,12,84
115,120,0,108
0,120,48,108
110,120,0,24
65,120,12,48
100,120,36,60
80,120,12,72
40,120,36,72
105,120,0,84
85,120,0,0
45,120,60,120
5,120,72,120
25,120,0,84
15,120,60,72
5,120,0,72
65,120,24,12
10,120,12,36
10,120,60,96
85,120,12,72
110,120,0,120
10,120,60,84
120,120,60,108
55,120,36,72
0,120,12,84
25,120,0,12
115,120,60,120
55,120,12,96
55,120,36,120
105,120,24,108
40,120,48,96
80,120,0,96
60,120,0,60
55,120,0,60
40,120,48,60
120,120,60,60
10,120,36,84
110,120,24,60
120,84,36,84
55,120,12,36
45,120,24,60
95,96,24,84
10,120,48,48
50,108,12,72
110,120,60,120
90,120,36,60
80,120,48,120
25,120,24,96
30,120,0,48
40,96,24,84
45,120,60,96
110,120,0,108
50,84,0,120
45,120,12,120
80,108,12,60
115,120,12,108
75,120,0,12
110,120,0,84
0,120,0,36
65,108,36,96
95,120,24,108
10,120,36,72
85,120,72,108
0,120,0,12
110,120,36,36
70,120,12,0
110,108,12,84
5,108,24,84
0,120,36,96
15,120,36,108
40,120,0,96
30,120,0,12
35,120,60,120
105,120,24,72
20,120,24,120
50,108,48,96
25,120,60,84
45,120,72,96
35,108,36,96
95,120,72,120
20,120,60,120
100,120,12,96
90,120,12,72
5,120,12,96
95,120,60,84
115,120,0,96
100,84,0,120
100,120,24,96
45,120,72,120
30,120,24,84
100,108,24,72
65,120,36,96
10,96,12,84
100,120,0,60
40,108,24,84
75,120,60,96
30,108,0,120
55,120,0,120
70,120,60,108
20,96,0,120
95,120,0,96
70,120,24,120
80,120,24,0
60,120,0,96
65,120,36,60
55,120,48,72
20,120,72,96
50,120,72,108
115,120,48,48
120,120,48,12
15,120,48,48
70,120,12,120
5,120,12,120
55,120,48,96
40,120,48,120
15,120,36,48
70,120,24,108
85,108,12,96
35,120,60,84
90,120,12,12
10,120,0,84
50,96,12,84
35,108,24,72
40,120,36,120
55,120,12,84
15,120,24,96
5,108,12,108
120,120,24,84
25,108,36,84
15,120,12,48
45,120,12,48
75,108,0,120
50,108,12,108
95,120,72,108
115,120,48,84
60,120,48,48
40,96,12,72
105,120,36,48
95,120,0,0
70,120,24,12
45,120,36,72
50,120,24,60
90,108,36,72
110,120,72,108
75,120,72,120
85,120,36,36
0,108,12,48
40,120,24,96
95,120,12,72
20,120,12,48
90,120,72,120
35,120,0,84
95,120,12,12
50,108,12,60
40,120,0,12
75,120,36,96
35,96,12,120
0,96,12,72
115,120,36,48
45,96,12,120
110,96,12,120
20,120,12,36
0,120,48,96
55,120,60,120
70,108,12,84
15,120,24,12
25,120,12,72
35,120,72,108
115,120,12,60
20,120,12,120
35,120,12,72
40,120,0,24
0,120,36,36
15,120,0,12
80,120,24,120
20,108,12,60
100,120,36,72
35,120,60,96
10,108,12,84
30,120,48,108
35,96,12,84
75,120,36,108
60,120,60,108
35,120,12,96
40,120,0,60
70,108,36,84
35,120,72,120
35,108,48,96
40,108,24,72
50,96,12,72
25,120,24,84
100,120,60,96
120,120,60,48
10,108,12,48
105,120,24,48
100,120,36,36
75,120,12,48
30,120,24,96
55,120,36,84
75,108,24,84
110,120,48,48
0,120,0,84
60,120,24,84
45,108,12,72
65,120,24,96
5,120,24,12
95,120,72,96
55,120,48,84
15,120,0,120
45,120,12,96
35,108,12,48
25,96,12,72
5,120,0,0
90,120,24,0
55,120,48,120
10,108,12,108
115,120,36,72
50,120,0,72
50,120,60,84
20,108,36,96
80,120,12,120
30,120,36,60
10,120,0,48
25,120,12,48
15,108,36,96
55,96,12,84
95,120,0,72
80,84,0,120
105,120,12,84
40,108,36,84
15,108,0,120
60,120,0,84
60,120,0,120
5,120,36,72
35,108,0,120
90,120,60,120
25,120,12,120
105,84,0,120
25,108,12,96
110,120,24,0
5,120,12,36
90,120,24,96
120,120,24,96
25,120,60,96
20,120,36,96
90,120,72,108
35,120,48,72
35,120,24,120
40,120,0,84
70,120,12,108
35,120,0,72
50,120,0,0
50,120,0,84
75,108,24,72
30,108,24,84
120,120,72,48
30,120,0,72
55,120,0,72
55,120,0,84
45,108,24,84
85,120,12,84
60,96,24,84
60,108,24,72
85,120,24,108
35,108,12,96
70,120,12,72
35,120,12,120
15,108,12,84
75,120,24,60
25,120,24,60
65,96,24,84
20,120,12,0
60,108,0,120
45,120,60,84
105,120,48,60
30,108,48,96
85,120,48,96
75,120,0,96
35,120,0,60
45,120,48,120
25,120,0,108
40,120,0,120
95,108,24,72
95,108,12,60
20,108,0,120
35,120,24,84
75,120,24,48
50,108,12,120
90,108,12,60
30,120,12,0
55,120,0,12
65,120,24,0
60,120,60,96
90,120,36,72
85,120,0,48
105,108,12,120
60,108,48,96
25,96,24,84
110,108,12,96
25,120,0,48
50,120,48,60
80,108,12,48
85,120,48,48
5,120,36,96
60,120,48,60
30,120,0,36
40,120,36,84
80,120,12,36
25,84,0,120
75,120,24,84
65,120,12,84
10,120,72,120
115,120,12,72
115,120,0,12
55,120,24,12
70,120,0,108
40,108,12,120
0,120,72,108
90,108,12,72
30,120,60,120
10,108,0,120
10,96,12,72
15,120,72,108
20,120,12,108
110,120,12,48
45,120,48,96
110,108,48,96
120,108,12,84
40,120,12,72
110,120,0,60
75,108,12,108
5,120,0,84
10,120,36,60
105,120,36,96
120,96,36,84
55,108,12,72
100,120,0,96
105,120,36,72
60,108,24,84
110,108,24,84
90,120,36,84
15,120,48,108
45,120,12,84
40,108,36,96
65,120,0,0
25,120,36,36
0,120,12,0
0,120,48,120
45,120,48,48
120,108,24,0
30,108,12,60
