theta_1,theta_2,theta_3,theta_4
20,72,108,0
40,84,96,36
15,48,84,48
10,36,72,36
60,60,96,60
5,12,12,0
35,48,84,0
20,84,84,36
15,48,72,60
40,60,84,60
50,24,24,0
35,12,24,0
30,72,120,120
10,72,72,12
45,84,108,0
40,36,24,12
0,84,96,36
25,120,120,12
25,48,72,0
45,60,72,48
5,60,60,12
30,96,120,12
60,108,120,12
20,108,108,0
60,60,72,12
0,24,12,0
25,60,36,0
5,60,60,0
25,72,96,60
10,60,48,0
20,60,84,36
30,72,84,48
25,48,60,12
20,36,24,12
35,96,108,0
25,36,24,0
55,60,48,0
20,120,120,12
15,24,24,0
60,36,60,12
5,120,120,12
55,48,84,12
40,24,48,12
15,108,108,12
15,48,48,0
55,24,36,12
40,84,84,12
15,84,84,0
30,24,12,0
45,36,72,60
45,48,48,12
25,72,120,120
55,36,12,0
30,48,60,0
10,84,120,12
10,36,48,12
0,48,84,12
50,72,96,60
60,72,96,36
55,12,60,48
25,0,12,0
45,36,84,60
5,48,84,12
60,72,108,0
30,36,72,48
25,96,96,12
25,36,60,12
45,24,24,12
10,120,120,12
55,72,120,0
0,24,36,0
15,72,120,120
20,84,96,0
30,84,96,0
40,60,84,0
55,24,48,0
15,48,72,48
15,12,24,0
60,24,72,36
35,36,72,48
55,60,96,12
60,48,72,36
20,24,36,12
10,72,84,36
35,48,60,12
35,108,120,12
15,12,12,0
40,48,72,0
35,108,120,0
15,48,72,12
15,60,72,0
50,72,84,48
30,84,108,12
25,72,84,0
5,96,108,0
25,36,48,12
35,72,120,0
10,60,48,12
45,60,96,0
15,60,72,60
25,72,84,48
60,24,12,0
25,84,120,12
10,36,24,12
60,48,72,0
15,36,48,0
10,60,84,60
50,60,84,0
25,60,96,12
25,36,36,0
30,48,36,12
0,24,24,12
15,72,84,0
50,48,60,12
55,0,12,0
40,36,36,12
50,36,36,12
10,60,72,60
40,72,108,12
40,36,72,12
55,36,84,48
50,84,108,12
50,36,96,60
20,48,60,12
5,48,96,36
5,72,108,12
30,72,84,36
10,84,72,12
5,12,24,12
0,36,48,12
20,48,24,0
50,48,84,12
30,24,24,0
60,60,84,36
60,36,84,48
15,84,120,0
50,24,84,60
10,48,24,0
0,48,84,48
20,36,84,48
20,84,72,12
0,72,96,60
15,24,72,48
10,84,96,12
55,60,84,0
55,84,96,36
55,12,24,12
20,60,96,36
40,72,96,0
0,120,120,12
15,48,48,12
15,72,72,0
50,48,36,12
20,24,72,36
55,12,24,0
