,theta_1,theta_2,theta_3,theta_4,theta_5,p_x,p_y,p_z,Roll,Pich,Yaw
0,0,0,12,0,0,53.213313626417,0.0,2.51517913056066,3.141592653589793,-1.3613568165555774,0.0
1,0,12,12,0,0,53.6066568132085,0.0,13.7424104347197,3.141592653589793,-1.5707963267948966,0.0
2,0,12,24,0,0,52.8199704396255,0.0,6.25758956528033,3.141592653589793,-1.3613568165555774,0.0
3,0,12,24,12,0,53.213313626417,0.0,10.0,3.141592653589793,-1.5707963267948966,0.0
4,0,12,36,12,0,51.6571318639838,0.0,2.6787404246356,3.141592653589793,-1.3613568165555774,0.0
5,0,12,60,48,0,47.651007727668,0.0,0.365803576126575,0.0,-1.5707963267948966,3.141592653589793
6,0,24,12,0,0,51.6571318639838,0.0,24.8060804448037,0.0,-1.5707963267948966,3.141592653589793
7,0,24,24,0,0,52.4438182375668,0.0,17.3212595753644,3.141592653589793,-1.5707963267948966,0.0
8,0,24,24,12,0,52.0504750507753,0.0,21.0636700100841,0.0,-1.5707963267948966,3.141592653589793
9,0,24,36,0,0,51.6571318639838,0.0,9.83643870592507,3.141592653589793,-1.3613568165555774,0.0
10,0,24,36,12,0,52.0504750507753,0.0,13.5788491406447,3.141592653589793,-1.5707963267948966,0.0
11,0,24,48,0,0,49.3314547127004,0.0,2.6787404246356,3.141592653589793,-1.1519173063162578,0.0
12,0,24,48,12,0,50.4942932883421,0.0,6.25758956528033,3.141592653589793,-1.3613568165555774,0.0
13,0,24,72,36,0,46.0948259652348,0.0,0.20224228205164,3.141592653589793,-1.3613568165555774,0.0
14,0,24,72,48,0,46.4881691520263,0.0,3.94465271677131,0.0,-1.5707963267948966,3.141592653589793
15,0,24,72,60,0,46.0948259652348,0.0,7.68706315149097,0.0,-1.5707963267948966,3.141592653589793
16,0,24,84,60,0,43.4438182375668,0.0,1.73280230724451,3.141592653589793,-1.5707963267948966,0.0
17,0,24,96,72,0,40.0061241363159,0.0,0.202242282051636,3.141592653589793,-1.5707963267948966,0.0
18,0,36,12,0,0,47.4499423738827,0.0,35.2226536919933,0.0,-1.5707963267948966,3.141592653589793
19,0,36,24,0,0,49.7756195251661,0.0,28.0649554107038,0.0,-1.5707963267948966,3.141592653589793
20,0,36,24,12,0,48.6127809495244,0.0,31.6438045513486,0.0,-1.5707963267948966,3.141592653589793
21,0,36,36,0,0,50.5623058987491,0.0,20.5801345412645,3.141592653589793,-1.5707963267948966,0.0
22,0,36,36,12,0,50.1689627119576,0.0,24.3225449759842,0.0,-1.5707963267948966,3.141592653589793
23,0,36,48,0,0,49.7756195251661,0.0,13.0953136718252,3.141592653589793,-1.3613568165555774,0.0
24,0,36,48,12,0,50.1689627119576,0.0,16.8377241065448,3.141592653589793,-1.5707963267948966,0.0
25,0,36,60,0,0,47.4499423738827,0.0,5.93761539053571,3.141592653589793,-1.1519173063162578,0.0
26,0,36,60,12,0,48.6127809495244,0.0,9.51646453118045,3.141592653589793,-1.3613568165555774,0.0
27,0,36,72,12,0,45.5684300350649,0.0,2.6787404246356,3.141592653589793,-1.1519173063162578,0.0
28,0,36,72,36,0,47.1246117974981,0.0,10.0,3.141592653589793,-1.5707963267948966,0.0
29,0,36,72,48,0,46.7312686107066,0.0,13.7424104347197,0.0,-1.5707963267948966,3.141592653589793
30,0,36,72,60,0,45.5684300350649,0.0,17.3212595753644,0.0,-1.5707963267948966,3.141592653589793
31,0,36,84,36,0,44.213313626417,0.0,3.46111724795175,3.141592653589793,-1.3613568165555774,0.0
32,0,36,84,48,0,44.6066568132085,0.0,7.20352768267142,3.141592653589793,-1.5707963267948966,0.0
33,0,36,84,60,0,44.213313626417,0.0,10.9459381173911,0.0,-1.5707963267948966,3.141592653589793
34,0,48,12,0,0,41.1689627119576,0.0,44.5368759411221,0.0,-1.5707963267948966,3.141592653589793
35,0,48,24,0,0,44.9319873895931,0.0,38.0191260093219,0.0,-1.5707963267948966,3.141592653589793
36,0,48,24,12,0,43.0504750507753,0.0,41.278000975222,0.0,-1.5707963267948966,3.141592653589793
37,0,48,36,0,0,47.2576645408764,0.0,30.8614277280324,0.0,-1.5707963267948966,3.141592653589793
38,0,48,36,12,0,46.0948259652348,0.0,34.4402768686772,0.0,-1.5707963267948966,3.141592653589793
39,0,48,48,0,0,48.0443509144595,0.0,23.3766068585931,3.141592653589793,-1.5707963267948966,0.0
40,0,48,48,12,0,47.6510077276679,0.0,27.1190172933128,0.0,-1.5707963267948966,3.141592653589793
41,0,48,60,0,0,47.2576645408764,0.0,15.8917859891538,3.141592653589793,-1.3613568165555774,0.0
42,0,48,60,12,0,47.651007727668,0.0,19.6341964238734,0.0,-1.5707963267948966,3.141592653589793
43,0,48,72,0,0,44.9319873895931,0.0,8.73408770786429,3.141592653589793,-1.1519173063162578,0.0
44,0,48,72,12,0,46.0948259652348,0.0,12.312936848509,3.141592653589793,-1.3613568165555774,0.0
45,0,48,72,36,0,46.0948259652348,0.0,19.7977577179484,0.0,-1.5707963267948966,3.141592653589793
46,0,48,72,48,0,44.9319873895931,0.0,23.3766068585931,0.0,-1.5707963267948966,3.141592653589793
47,0,48,72,60,0,43.0504750507753,0.0,26.6354818244932,0.0,-1.5707963267948966,3.141592653589793
48,0,48,84,0,0,41.1689627119576,0.0,2.21633777606406,3.141592653589793,-0.9424777960769378,0.0
49,0,48,84,12,0,43.0504750507753,0.0,5.47521274196418,3.141592653589793,-1.1519173063162578,0.0
50,0,48,84,36,0,44.6066568132085,0.0,12.7964723173286,3.141592653589793,-1.5707963267948966,0.0
51,0,48,84,48,0,44.213313626417,0.0,16.5388827520482,0.0,-1.5707963267948966,3.141592653589793
52,0,48,84,60,0,43.0504750507753,0.0,20.117731892693,0.0,-1.5707963267948966,3.141592653589793
53,0,48,96,36,0,41.6953586421274,0.0,6.25758956528033,3.141592653589793,-1.3613568165555774,0.0
54,0,48,108,36,0,37.4881691520263,0.0,0.466890015108799,3.141592653589793,-1.1519173063162578,0.0
55,0,60,12,0,0,33.0887018289189,0.0,52.3416709853061,0.0,-1.5707963267948966,3.141592653589793
56,0,60,24,0,0,38.1246117974981,0.0,46.7487263506489,0.0,-1.5707963267948966,3.141592653589793
