theta_1,theta_2,theta_3,theta_4,theta_5,p_x,p_y,p_z,roll,pich,yaw
0,0,0,0,0,54.0000000000000,-1.10218211923262e-15,10.0000000000000,2.356194490192345,-1.5707963267948966,0.7853981633974483
0,0,12,0,0,53.2133136264170,-2.47712140722515e-15,2.51517913056066,3.1415926535897927,-1.361356816555577,2.752039537077583e-16
0,0,12,12,0,53.6066568132085,-2.24796485922639e-15,6.25758956528033,2.3348126653782164,-1.5707963267948966,0.8067799882115768
0,0,24,24,0,52.4438182375668,-3.34367139540685e-15,2.67874042463559,2.2767868872244277,-1.5707963267948966,0.8648057663653655
0,12,0,0,0,52.8199704396255,-4.14712475236354e-16,21.2272313041590,2.33278948544632e-16,-1.1071487177940904,3.141592653589793
0,12,12,0,0,53.6066568132085,-1.78965176322888e-15,13.7424104347197,2.378531369423474,-1.5707963267948966,0.7630612841663191
0,12,12,12,0,53.2133136264170,-1.56049521523013e-15,17.4848208694393,2.204073920151379e-16,-1.0894363925173138,3.141592653589793
0,12,24,0,0,52.8199704396255,-3.12453008817076e-15,6.25758956528033,3.1415926535897927,-1.361356816555577,2.3715183290419584e-16
0,12,24,12,0,53.2133136264170,-2.91540402169733e-15,10.0000000000000,2.356194490192345,-1.5707963267948966,0.7853981633974483
0,12,24,24,0,52.8199704396255,-2.66621699217325e-15,13.7424104347197,2.33278948544632e-16,-1.038960311618911,3.141592653589793
0,12,36,12,0,51.6571318639838,-4.20108157098546e-15,2.67874042463560,3.1415926535897927,-1.3613568165555772,2.5002338943368997e-16
0,12,36,24,0,52.0504750507753,-3.97192502298671e-15,6.42115085935527,1.65335157783536,-1.5707963267948966,1.488241075754433
0,12,48,36,0,50.1689627119576,-4.91303972959042e-15,3.16227589345515,2.529577687131433,-1.5707963267948966,0.6120149664583603
0,12,48,48,0,49.7756195251661,-4.56803917282622e-15,6.90468632817482,3.329006941523757e-16,-1.3915450068262947,3.1415926535897927
0,12,60,48,0,47.6510077276680,-5.69761691286049e-15,0.365803576126575,0.7549486570649259,-1.5707963267948966,2.3866439965248674
0,12,60,60,0,47.2576645408765,-5.28102082128620e-15,4.10821401084624,4.1529693490939388e-16,-1.3556087911402255,3.1415926535897927
0,24,0,0,0,49.3314547127004,2.42711446471921e-16,31.9637787260932,8.931308298343261e-17,-1.1071487177940904,3.141592653589793
0,24,0,108,0,20.8432855606742,6.13494529878503e-16,38.0191260093219,2.1163900799650546e-17,1.1071487177940904,-3.141592653589793
0,24,12,0,0,51.6571318639838,-1.11219735999528e-15,24.8060804448037,1.9522682774106946e-16,-1.1251803919484136,3.141592653589793
0,24,12,12,0,50.4942932883421,-8.93056052759190e-16,28.3849295854485,6.986196907433759e-17,-1.088196008705747,3.141592653589793
0,24,24,0,0,52.4438182375668,-2.44707568493716e-15,17.3212595753644,2.450549755584126,-1.5707963267948966,0.6910428980056673
0,24,24,12,0,52.0504750507753,-2.23794961846373e-15,21.0636700100841,1.8235527121157536e-16,-1.1071487177940906,3.141592653589793
0,24,24,24,0,50.8876364751336,-1.99877782970231e-15,24.6425191507288,6.328241169473665e-17,-1.034330073599316,3.141592653589793
0,24,36,0,0,51.6571318639838,-3.70358294009687e-15,9.83643870592507,3.141592653589793,-1.3613568165555772,1.7558220810001479e-16
0,24,36,12,0,52.0504750507753,-3.53364240851452e-15,13.5788491406447,1.6776847704579603,-1.5707963267948966,1.4639078831318328
0,24,36,24,0,51.6571318639838,-3.30448586051577e-15,17.3212595753644,1.9522682774106938e-16,-1.0557177103739213,3.141592653589793
0,24,48,0,0,49.3314547127004,-4.82680372903318e-15,2.67874042463560,3.141592653589793,-1.1519173063162575,3.790834168870861e-17
0,24,48,12,0,50.4942932883421,-4.72350643056253e-15,6.25758956528033,3.1415926535897927,-1.361356816555577,1.884537646295088e-16
0,24,48,24,0,50.8876364751336,-4.53353541745486e-15,10.0000000000000,2.356194490192345,-1.5707963267948966,0.7853981633974484
0,24,48,36,0,50.4942932883421,-4.26519333456502e-15,13.7424104347197,2.332789485446321e-16,-1.4263551681660602,3.1415926535897927
0,24,48,48,0,49.3314547127004,-3.93020801856349e-15,17.3212595753644,8.931308298343261e-17,-0.8592725657128876,3.141592653589793
0,24,60,24,0,48.6127809495244,-5.63221113724724e-15,2.99871459938022,3.1415926535897927,-1.3613568165555772,2.265058854330716e-16
0,24,60,36,0,49.0061241363159,-5.40305458924849e-15,6.74112503409989,0.9787427702526641,-1.5707963267948966,2.162849883337129
0,24,60,48,0,48.6127809495244,-5.07808451400961e-15,10.4835354688196,2.948485733488128e-16,-1.3962245081162155,3.1415926535897927
0,24,60,60,0,47.4499423738827,-4.67150366319799e-15,14.0623846094643,1.207856464073942e-16,-0.7622900222467458,3.141592653589793
0,24,72,36,0,46.0948259652348,-6.38998230401991e-15,0.202242282051640,3.1415926535897927,-1.3613568165555772,2.880755102372525e-16
0,24,72,48,0,46.4881691520263,-6.10419776367212e-15,3.94465271677131,1.0709099187369728,-1.5707963267948966,2.0706827348528205
0,24,72,60,0,46.0948259652348,-5.70763215362315e-15,7.68706315149097,3.772448141058315e-16,-1.3602223020153892,3.1415926535897927
0,24,72,72,0,44.9319873895931,-5.21761729396509e-15,11.2659122921357,1.629041573024803e-16,-1.305617588003876,3.1415926535897927
0,24,84,60,0,43.4438182375668,-6.60632161954520e-15,1.73280230724451,2.5655785539708362,-1.5707963267948963,0.5760140996189568
0,24,84,84,0,41.8876364751336,-5.54468112465632e-15,9.05406188260891,2.1382783463553693e-16,-1.2611303863416068,3.1415926535897927
