mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7.123155498504639,1.3078350538105747,0.0157681941986084,0.001827810106203625,"(220, 120, 210, 210)",relu,"{'hidden_layer_sizes': (220, 120, 210, 210), 'activation': 'relu'}",-0.007102842107408407,-0.00747683301351907,-0.0053822378009566905,-0.007928435698960052,-0.006662748456262998,-0.006910619415421443,0.0008707339158261534,24,-0.006016253046222829,-0.006404276276472041,-0.004912899507932367,-0.007638516634898998,-0.0048628300199755605,-0.00596695509710036,0.0010313024238655308
11.252735376358032,1.6101028561773298,0.019559049606323244,0.0032550778273564445,"(240, 270, 100, 240)",relu,"{'hidden_layer_sizes': (240, 270, 100, 240), 'activation': 'relu'}",-0.006698219053839313,-0.00719930922146439,-0.007035349001471155,-0.005151677171884123,-0.007068265764458471,-0.006630564042623491,0.0007577055253393988,19,-0.005368392680425372,-0.006585155102894014,-0.006548205210907297,-0.004354016765741883,-0.005385407361477187,-0.00564823542428915,0.0008378730917041245
8.412693452835082,1.3058342014635242,0.017164087295532225,0.004523589132816054,"(230, 140, 130, 200)",relu,"{'hidden_layer_sizes': (230, 140, 130, 200), 'activation': 'relu'}",-0.005929045924992309,-0.006077640372183268,-0.00563437823138961,-0.005893710778461556,-0.004493766733369217,-0.005605708408079192,0.0005740119407569859,5,-0.004589453057025628,-0.005401100733647948,-0.005088808522053909,-0.005239095686971274,-0.0036730027642545016,-0.0047982921527906525,0.0006248160813524625
20.338910341262817,5.728804277909638,0.042888832092285153,0.0015430854065924368,"(260, 180, 210, 280)",tanh,"{'hidden_layer_sizes': (260, 180, 210, 280), 'activation': 'tanh'}",-0.01441363852781178,-0.007725892221951353,-0.0067766060697940994,-0.007486612376208461,-0.007433059651305325,-0.008767161769414205,0.0028407354419892664,35,-0.01385940156926538,-0.007122802659754786,-0.006930811762886539,-0.007397052991424222,-0.006504684811718144,-0.008362950759009813,0.00276355103988157
20.57706594467163,4.573006133686975,0.04467353820800781,0.004209172248541177,"(140, 280, 240, 270)",tanh,"{'hidden_layer_sizes': (140, 280, 240, 270), 'activation': 'tanh'}",-0.01181527669506667,-0.00876279974536777,-0.010261469755582432,-0.00846962262033292,-0.009112109621277295,-0.009684255687525418,0.0012268815979811058,43,-0.01098969852763932,-0.008252188091966907,-0.010192521664793733,-0.008170184294415763,-0.007768547665816984,-0.009074628048926541,0.001274162707808916
18.29831142425537,3.6023659281234397,0.027603673934936523,0.005407811073953681,"(210, 280, 270, 210)",relu,"{'hidden_layer_sizes': (210, 280, 270, 210), 'activation': 'relu'}",-0.005431349202036848,-0.005279511578234969,-0.004831606467350064,-0.006079710865066038,-0.007718238284671267,-0.005868083279471838,0.001007898532810213,7,-0.003958397772005691,-0.004593957918398676,-0.004529345401791616,-0.00558825691670919,-0.006013420741704101,-0.004936675750121855,0.0007515768917240185
14.611132192611695,3.6113994367329343,0.02307896614074707,0.005122950029211081,"(200, 280, 100, 280)",relu,"{'hidden_layer_sizes': (200, 280, 100, 280), 'activation': 'relu'}",-0.00755405444311077,-0.005994282547913803,-0.004934488162266304,-0.006113535149646827,-0.006289848233355469,-0.006177241707258634,0.0008354953611344778,13,-0.006512742273759816,-0.005002187365523645,-0.00447592767487698,-0.005631602456193046,-0.004950621160222476,-0.005314616186115192,0.0007027786256007389
11.882935428619385,2.0497697367898877,0.02796015739440918,0.0035494507413218494,"(170, 180, 230)",tanh,"{'hidden_layer_sizes': (170, 180, 230), 'activation': 'tanh'}",-0.00862398320103815,-0.010595682369848241,-0.007104767563977064,-0.00920568591734323,-0.007852530232482679,-0.008676529856937874,0.0011929229431774597,32,-0.00777926393321979,-0.0095221279992517,-0.006708141967680914,-0.009409911400644072,-0.006505247201835826,-0.007984938500526461,0.0012849511332657536
10.400665903091431,1.6261342434614023,0.02585005760192871,0.017755003699629998,"(140, 280, 190, 230)",relu,"{'hidden_layer_sizes': (140, 280, 190, 230), 'activation': 'relu'}",-0.006621876461999266,-0.007369247903026772,-0.005048249978591252,-0.005573053443803979,-0.0062768008101614595,-0.006177845719516545,0.0008084744656184736,14,-0.005659482733094493,-0.006587819515670435,-0.004614576250244937,-0.004729542018857536,-0.004960537439355932,-0.005310391591444667,0.0007345243181171621
14.857242393493653,3.690385654804179,0.023345470428466797,0.0029297926327907795,"(230, 260, 180, 280)",relu,"{'hidden_layer_sizes': (230, 260, 180, 280), 'activation': 'relu'}",-0.0057286255267267345,-0.004971948054130632,-0.007145663360102692,-0.0054882089577885625,-0.0087664141942621,-0.006420172018602144,0.0013766142801710012,17,-0.004432230938258511,-0.004437676898508512,-0.006721447508170039,-0.0049200829545622445,-0.007197552320160772,-0.005541798123932016,0.0011806648465877932
8.350669765472412,2.850916470345133,0.01765165328979492,0.0028215421508887067,"(180, 180, 180, 220)",relu,"{'hidden_layer_sizes': (180, 180, 180, 220), 'activation': 'relu'}",-0.005221974444514367,-0.006030953177349496,-0.0069206245302518635,-0.005988101286902881,-0.009447558406691281,-0.006721842369141977,0.0014652201136591593,20,-0.0039751823047863375,-0.00528850405413943,-0.006599919864929792,-0.005388274409791355,-0.007111143356520137,-0.0056726047980334105,0.001098992874341322
