,theta_1,theta_2,theta_3,theta_4,theta_5,p_x,p_y,p_z,Roll,Pich,Yaw
2901,55,60,84,48,0,24.0257612565752,34.3123430490399,25.5884572681199,0.0,-1.1519173063162573,-2.181661564992912
2902,55,60,84,60,0,22.9465701143256,32.7710983703423,28.84733223402,0.0,-0.9424777960769386,-2.1816615649929116
2903,55,60,96,0,0,21.867378972076,31.2298536916448,4.42818818559086,3.141592653589793,-0.9424777960769379,0.9599310885968815
2904,55,60,96,12,0,22.9465701143256,32.7710983703423,7.68706315149097,3.141592653589793,-1.1519173063162573,0.9599310885968814
2905,55,60,96,36,0,23.8391593039365,34.0458478423247,15.0083227268554,3.141592653589793,-1.5707963267948963,0.9599310885968813
2906,55,60,96,60,0,22.9465701143256,32.7710983703423,22.3295823022198,0.0,-1.151917306316258,-2.1816615649929134
2907,55,60,108,12,0,20.4231393252948,29.1672657188363,1.63171586826228,3.141592653589793,-0.9424777960769379,0.9599310885968815
2908,55,72,12,0,0,13.5147834496177,19.3011110451229,58.2959318295526,0.0,-0.5235987755982991,-2.181661564992912
2909,55,72,24,0,0,17.0071193466531,24.2886835953479,53.872231010499,0.0,-0.7330382858376185,-2.1816615649929125
2910,55,72,24,12,0,15.2609513981354,21.7948973202354,56.0840814200258,0.0,-0.5235987755982991,-2.181661564992912
2911,55,72,36,0,0,19.8955986402155,28.4138595409649,48.2792863758418,0.0,-0.9424777960769379,-2.1816615649929116
2912,55,72,36,12,0,18.4513589934343,26.3512715681564,51.0757586931704,0.0,-0.7330382858376185,-2.1816615649929125
2913,55,72,48,0,0,22.0539809247147,31.4963488983599,41.7615364440416,0.0,-1.1519173063162573,-2.181661564992912
2914,55,72,48,12,0,20.9747897824651,29.9551042196624,45.0204114099417,0.0,-0.9424777960769379,-2.1816615649929116
2915,55,72,60,0,0,23.3879345372509,33.4014320911899,34.6038381627521,0.0,-1.3613568165555774,-2.1816615649929134
2916,55,72,60,12,0,22.7209577309828,32.4488904947749,38.1826873033968,0.0,-1.1519173063162573,-2.181661564992912
2917,55,72,72,0,0,23.8391593039365,34.0458478423247,27.1190172933128,3.141592653589793,-1.5707963267948966,0.959931088596881
2918,55,72,72,12,0,23.6135469205937,33.7236399667573,30.8614277280324,0.0,-1.3613568165555774,-2.1816615649929134
2919,55,72,72,36,0,21.867378972076,31.2298536916448,37.6991518345773,0.0,-0.9424777960769379,-2.1816615649929116
2920,55,72,72,48,0,20.4231393252948,29.1672657188363,40.4956241519059,0.0,-0.7330382858376185,-2.1816615649929125
2921,55,72,72,60,0,18.6769713767771,26.6734794437238,42.7074745614327,0.0,-0.5235987755982991,-2.181661564992912
2922,55,72,84,0,0,23.3879345372509,33.4014320911899,19.6341964238734,3.141592653589793,-1.3613568165555774,0.9599310885968799
