mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_activation,params,split0_test_r2,split1_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mse,split1_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_train_neg_mse,split1_train_neg_mse,mean_train_neg_mse,std_train_neg_mse
6.892918825149536,0.394761323928833,0.004016280174255371,1.1920928955078125e-07,"(250, 270)",tanh,"{'hidden_layer_sizes': (250, 270), 'activation': 'tanh'}",0.9889317943323684,0.9885436849866424,0.9887377396595054,0.00019405467286304212,1524,0.9888420238231158,0.9900914908920563,0.989466757357586,0.0006247335344702343,-0.010859118541676432,-0.011823419704328108,-0.01134126912300227,0.00048215058132583793,1524,-0.011183672502315292,-0.0098587541495351,-0.010521213325925196,0.0006624591763900959
8.659784078598022,2.0922045707702637,0.007276296615600586,0.00011086463928222656,"(210, 210, 320, 155)",tanh,"{'hidden_layer_sizes': (210, 210, 320, 155), 'activation': 'tanh'}",0.9915921781253053,0.9950275462373818,0.9933098621813435,0.0017176840560382267,671,0.9918040973350544,0.9957616378085005,0.9937828675717775,0.0019787702367230486,-0.00825388154487539,-0.005134020492350231,-0.006693951018612811,0.0015599305262625797,660,-0.008213881737931444,-0.004217606151171125,-0.0062157439445512845,0.00199813779338016
3.751886487007141,0.5711163282394409,0.0019958019256591797,2.193450927734375e-05,"(100, 100, 265, 100)",relu,"{'hidden_layer_sizes': (100, 100, 265, 100), 'activation': 'relu'}",0.9959672464804312,0.993734191777024,0.9948507191287277,0.001116527351703589,279,0.9961277018632905,0.9951495482928869,0.9956386250780886,0.0004890767852017697,-0.003957893632413222,-0.0064561638040081405,-0.005207028718210681,0.0012491350857974592,282,-0.0038812979968277936,-0.004827713851059009,-0.004354505923943401,0.0004732079271156076
9.497056007385254,1.241595983505249,0.006474614143371582,0.0005069971084594727,"(380, 275, 135)",tanh,"{'hidden_layer_sizes': (380, 275, 135), 'activation': 'tanh'}",0.9943759927562299,0.9921818967476717,0.9932789447519508,0.001097048004279122,680,0.9947190070478676,0.9929294696964357,0.9938242383721516,0.0008947686757159734,-0.005514338623955115,-0.008057262903710281,-0.006785800763832698,0.0012714621398775832,681,-0.005293885568169841,-0.0070369176398759545,-0.006165401604022898,0.0008715160358530568
6.186790347099304,0.1673504114151001,0.003000020980834961,1.8835067749023438e-05,"(415, 240, 205)",relu,"{'hidden_layer_sizes': (415, 240, 205), 'activation': 'relu'}",0.9957440103227262,0.9947411260383887,0.9952425681805575,0.0005014421421687398,187,0.9958098391458099,0.9958273264824765,0.9958185828141433,8.743668333310861e-06,-0.004176772586501968,-0.005426395489135587,-0.004801584037818777,0.0006248114513168093,189,-0.004199090246329616,-0.0041519475937616505,-0.004175518920045633,2.3571326283982914e-05
8.106327652931213,0.1003338098526001,0.008653759956359863,0.0005937814712524414,"(375, 210, 265, 320)",tanh,"{'hidden_layer_sizes': (375, 210, 265, 320), 'activation': 'tanh'}",0.9904849260297938,0.9875344205070669,0.9890096732684304,0.0014752527613634547,1494,0.9903673161815835,0.9886927826553038,0.9895300494184436,0.0008372667631398323,-0.009341196466635449,-0.012846243769939059,-0.011093720118287253,0.0017525236516518052,1497,-0.009654317452350247,-0.01125242750776007,-0.010453372480055158,0.000799055027704912
8.76745057106018,1.2715504169464111,0.00499117374420166,1.6570091247558594e-05,"(485, 345, 240)",relu,"{'hidden_layer_sizes': (485, 345, 240), 'activation': 'relu'}",0.9950405982221732,0.9918552216814304,0.9934479099518018,0.0015926882703714007,640,0.9953052730211556,0.9939014383220166,0.9946033556715861,0.0007019173495694808,-0.004866964140836231,-0.00838213386882599,-0.006624549004831111,0.0017575848639948795,641,-0.0047050595905963385,-0.006070134236188124,-0.005387596913392231,0.0006825373227958929
3.5440753698349,0.38325822353363037,0.0010004043579101562,0.0,"(100,)",tanh,"{'hidden_layer_sizes': (100,), 'activation': 'tanh'}",0.9757290634486204,0.976513532648332,0.9761212980484761,0.0003922345998557675,1794,0.9767289617678249,0.98015836232222,0.9784436620450224,0.0017147002771975561,-0.023839034515025677,-0.024170426602260094,-0.024004730558642884,0.0001656960436172087,1794,-0.023319218337302765,-0.019744731400180966,-0.021531974868741866,0.0017872434685608993
11.673492550849915,1.195393443107605,0.0047942399978637695,7.033348083496094e-06,"(485, 380, 170)",relu,"{'hidden_layer_sizes': (485, 380, 170), 'activation': 'relu'}",0.9951057388742133,0.9950675960739453,0.9950866674740793,1.9071400133963134e-05,228,0.9953508401521436,0.996100075172852,0.9957254576624979,0.00037461751035422486,-0.004804853807889551,-0.005072238768602128,-0.004938546288245839,0.00013369248035628853,225,-0.00465940068488571,-0.003882833387660797,-0.004271117036273253,0.0003882836486124564
17.729315400123596,3.2076913118362427,0.009990572929382324,0.00010025501251220703,"(380, 450, 380)",tanh,"{'hidden_layer_sizes': (380, 450, 380), 'activation': 'tanh'}",0.9908732959762998,0.9868130516788128,0.9888431738275563,0.002030122148743485,1517,0.99099055078591,0.9881060343339685,0.9895482925599393,0.0014422582259707717,-0.008962043978307292,-0.013574620664326364,-0.011268332321316828,0.002306288343009536,1518,-0.00902989806667554,-0.011837651953604375,-0.010433775010139958,0.0014038769434644178
9.45155417919159,0.020233511924743652,0.0035647153854370117,0.000531315803527832,"(1110,)",relu,"{'hidden_layer_sizes': (1110,), 'activation': 'relu'}",0.9916641743882024,0.9892521541731893,0.9904581642806959,0.0012060101075065388,1224,0.9921527858480023,0.9921288197828896,0.9921408028154459,1.1983032556339701e-05,-0.008167831842401633,-0.011091704983866277,-0.009629768413133954,0.0014619365707323221,1227,-0.007865498142479077,-0.007831879183541874,-0.007848688663010476,1.680947946860155e-05
9.23055374622345,1.1440643072128296,0.002537846565246582,0.0004731416702270508,"(1090,)",relu,"{'hidden_layer_sizes': (1090,), 'activation': 'relu'}",0.9926309429399285,0.9878664583905867,0.9902487006652576,0.002382242274670876,1261,0.9930263461316651,0.9912420710062263,0.9921342085689457,0.0008921375627193862,-0.007224197700172626,-0.012517546328354709,-0.009870872014263668,0.0026466743140910413,1269,-0.006989612603849457,-0.00871463183111986,-0.007852122217484658,0.0008625096136352013
