theta_1,theta_2,theta_3,theta_4,theta_5,R_11,R_12,R_13,p_x,R_21,R_22,R_23,p_y,R_31,R_32,R_33,p_z
0,0,0,0,0,6.12323399573677e-17,-6.12323399573677e-17,1.00000000000000,54.0000000000000,6.12323399573677e-17,-1.00000000000000,-6.12323399573677e-17,-1.10218211923262e-15,1.00000000000000,6.12323399573677e-17,-6.12323399573677e-17,10.0000000000000
0,0,0,5,0,-0.0871557427476581,-6.09993324172810e-17,0.996194698091746,53.9315045656514,6.09993324172810e-17,-1.00000000000000,-5.58955898882062e-17,-1.00612061798771e-15,0.996194698091746,5.58955898882062e-17,0.0871557427476581,11.5688033694578
0,0,0,10,0,-0.173648177666930,-6.03020831250949e-17,0.984807753012208,53.7265395542197,6.03020831250949e-17,-1.00000000000000,-5.05994557094888e-17,-9.10790202770799e-16,0.984807753012208,5.05994557094888e-17,0.173648177666930,13.1256671980047
0,0,5,0,0,0.0871557427476582,-7.16728325556040e-17,0.996194698091746,53.8630091313028,6.05333173371077e-17,-1.00000000000000,-7.72425901648521e-17,-1.67855112670206e-15,0.996194698091746,6.70351051067025e-17,-0.0871557427476582,6.86239326108431
0,0,5,5,0,6.12323399573677e-17,-7.19058400956906e-17,1.00000000000000,53.9315045656514,6.16983550375410e-17,-1.00000000000000,-7.19058400956906e-17,-1.58248962545715e-15,1.00000000000000,6.16983550375410e-17,-6.12323399573676e-17,8.43119663054215
0,0,5,10,0,-0.0871557427476581,-7.16728325556040e-17,0.996194698091746,53.8630091313028,6.23938310016532e-17,-1.00000000000000,-6.64878582456409e-17,-1.48496595215626e-15,0.996194698091746,5.63616049683795e-17,0.0871557427476581,10.0000000000000
0,0,10,0,0,0.173648177666930,-8.15678516208526e-17,0.984807753012208,53.4530791084395,5.84415694605493e-17,-1.00000000000000,-9.31309927010042e-17,-2.25053361800353e-15,0.984807753012208,7.37257378697921e-17,-0.173648177666930,3.74866560399051
0,0,10,5,0,0.0871557427476582,-8.22651009130387e-17,0.996194698091746,53.6580441198712,6.09993324172810e-17,-1.00000000000000,-8.79160903031751e-17,-2.15666537484261e-15,0.996194698091746,6.84296036910747e-17,-0.0871557427476582,5.30552943253741
0,0,10,10,0,6.12323399573677e-17,-8.24981084531254e-17,1.00000000000000,53.7265395542197,6.30928536219132e-17,-1.00000000000000,-8.24981084531254e-17,-2.05914170154172e-15,1.00000000000000,6.30928536219132e-17,-6.12323399573676e-17,6.87433280199525
0,5,0,0,0,-0.0871557427476581,-6.09993324172810e-17,0.996194698091746,53.7945136969543,6.09993324172810e-17,-1.00000000000000,-5.58955898882062e-17,-8.13997615497898e-16,0.996194698091746,5.58955898882062e-17,0.0871557427476581,14.7064101083735
0,5,0,5,0,-0.173648177666930,-6.03020831250949e-17,0.984807753012208,53.5895486855226,6.03020831250949e-17,-1.00000000000000,-5.05994557094888e-17,-7.18667200280985e-16,0.984807753012208,5.05994557094888e-17,0.173648177666930,16.2632739369204
0,5,0,10,0,-0.258819045102521,-5.91458985689335e-17,0.965925826289068,53.2496740045061,5.91458985689335e-17,-1.00000000000000,-4.53842442002088e-17,-6.24793393113946e-16,0.965925826289068,4.53842442002088e-17,0.258819045102521,17.7963495507611
0,5,5,0,0,6.12323399573677e-17,-7.19058400956906e-17,1.00000000000000,53.9315045656514,6.07663248771943e-17,-1.00000000000000,-7.19058400956906e-17,-1.39036662296734e-15,1.00000000000000,6.07663248771943e-17,-6.12323399573676e-17,11.5688033694578
0,5,5,5,0,-0.0871557427476581,-7.16728325556040e-17,0.996194698091746,53.8630091313028,6.14653474974543e-17,-1.00000000000000,-6.65690900265292e-17,-1.29430512172243e-15,0.996194698091746,5.54295748080329e-17,0.0871557427476581,13.1376067389157
0,5,5,10,0,-0.173648177666930,-7.09755832634179e-17,0.984807753012208,53.6580441198712,6.16965817094671e-17,-1.00000000000000,-6.11917240669235e-17,-1.19751253444953e-15,0.984807753012208,5.01334406293155e-17,0.173648177666930,14.6944705674626
0,5,10,0,0,0.0871557427476582,-8.23463326939270e-17,0.996194698091746,53.7945136969543,5.91388187527355e-17,-1.00000000000000,-8.78348585222869e-17,-1.96381128632480e-15,0.996194698091746,6.65690900265292e-17,-0.0871557427476582,8.43119663054215
0,5,10,5,0,6.12323399573677e-17,-8.25793402340136e-17,1.00000000000000,53.8630091313028,6.12323399573677e-17,-1.00000000000000,-8.25793402340136e-17,-1.86921195713588e-15,1.00000000000000,6.12323399573677e-17,-6.12323399573676e-17,10.0000000000000
0,5,10,10,0,-0.0871557427476581,-8.23463326939270e-17,0.996194698091746,53.7945136969543,6.28598460818265e-17,-1.00000000000000,-7.71613583839639e-17,-1.77168828383499e-15,0.996194698091746,5.58955898882062e-17,0.0871557427476581,11.5688033694578
0,10,0,0,0,-0.173648177666930,-6.03020831250949e-17,0.984807753012208,53.1796186626592,6.03020831250949e-17,-1.00000000000000,-5.05994557094888e-17,-5.28006369847160e-16,0.984807753012208,5.05994557094888e-17,0.173648177666930,19.3770015940142
0,10,0,5,0,-0.258819045102521,-5.91458985689335e-17,0.965925826289068,52.8397439816427,5.91458985689335e-17,-1.00000000000000,-4.53842442002088e-17,-4.34132562680120e-16,0.965925826289068,4.53842442002088e-17,0.258819045102521,20.9100772078549
0,10,0,10,0,-0.342020143325669,-5.75395780113925e-17,0.939692620785908,52.3675462825858,5.75395780113925e-17,-1.00000000000000,-4.02896462689827e-17,-3.42429799918050e-16,0.939692620785908,4.02896462689827e-17,0.342020143325669,22.4076969758715
