mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_activation,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
3.322775721549988,0.012383341789245605,0.002009868621826172,4.76837158203125e-07,"(100, 100)",tanh,"{'hidden_layer_sizes': (100, 100), 'activation': 'tanh'}",-0.012861523715069429,-0.011537713335860487,-0.012199618525464959,0.000661905189604471,1059,-0.01158243497341864,-0.010644251718455247,-0.011113343345936944,0.0004690916274816964
4.854242563247681,1.7357659339904785,0.004027247428894043,7.033348083496094e-06,"(175, 175, 175)",tanh,"{'hidden_layer_sizes': (175, 175, 175), 'activation': 'tanh'}",-0.006790132253131581,-0.015471248658974025,-0.011130690456052802,0.004340558202921222,974,-0.006166737159449022,-0.014295719389665696,-0.010231228274557358,0.004064491115108337
4.584608435630798,0.7297033071517944,0.016980648040771484,4.1484832763671875e-05,"(2735,)",tanh,"{'hidden_layer_sizes': (2735,), 'activation': 'tanh'}",-0.46704792698658343,-0.46005258630646056,-0.463550256646522,0.0034976703400614317,1300,-0.4657453256952194,-0.4682519967401759,-0.4669986612176977,0.0012533355224782494
8.872247815132141,1.1868618726730347,0.008112192153930664,0.00015354156494140625,"(100, 250, 200, 300)",tanh,"{'hidden_layer_sizes': (100, 250, 200, 300), 'activation': 'tanh'}",-0.010531620461875725,-0.009354081012612534,-0.00994285073724413,0.0005887697246315955,831,-0.01039748632639875,-0.008116332515510676,-0.009256909420954713,0.0011405769054440365
20.155921459197998,17.20452094078064,0.012541413307189941,0.00046813488006591797,"(1750,)",tanh,"{'hidden_layer_sizes': (1750,), 'activation': 'tanh'}",-0.04581789271664887,-0.4499432190041399,-0.2478805558603944,0.20206266314374552,1228,-0.04565053736732248,-0.4634901325533509,-0.2545703349603367,0.2089197975930142
2.023522138595581,0.09136819839477539,0.0005004405975341797,0.0005004405975341797,"(90,)",relu,"{'hidden_layer_sizes': (90,), 'activation': 'relu'}",-0.023819337872614477,-0.02154631393483625,-0.022682825903725362,0.0011365119688891128,1154,-0.022089073938220922,-0.02000026771633687,-0.021044670827278896,0.0010444031109420257
10.1632639169693,0.7641381025314331,0.007465362548828125,0.00046539306640625,"(250, 300, 275)",tanh,"{'hidden_layer_sizes': (250, 300, 275), 'activation': 'tanh'}",-0.008461820157009584,-0.010693731702930306,-0.009577775929969945,0.0011159557729603607,769,-0.008030852771194608,-0.009362363874354324,-0.008696608322774465,0.0006657555515798578
2.5915136337280273,0.3170585632324219,0.0004940032958984375,0.0004940032958984375,"(165,)",relu,"{'hidden_layer_sizes': (165,), 'activation': 'relu'}",-0.01753724811567651,-0.01356587795229888,-0.015551563033987694,0.0019856850816888146,1136,-0.016334422341680574,-0.012349128825439778,-0.014341775583560177,0.001992646758120398
7.776156663894653,0.1357417106628418,0.006537914276123047,0.0004799365997314453,"(200, 250, 250, 150)",tanh,"{'hidden_layer_sizes': (200, 250, 250, 150), 'activation': 'tanh'}",-0.007838492564237777,-0.00861225227939427,-0.008225372421816025,0.0003868798575782468,589,-0.007141381663651375,-0.007276861694288401,-0.007209121678969888,6.774001531851311e-05
5.583474516868591,0.2395256757736206,0.0024541616439819336,0.0005067586898803711,"(260, 230)",relu,"{'hidden_layer_sizes': (260, 230), 'activation': 'relu'}",-0.0054799848987073,-0.006175879912164364,-0.005827932405435832,0.0003479475067285319,241,-0.0048959517807557855,-0.005009086164463943,-0.004952518972609864,5.656719185407862e-05
4.506296873092651,0.10458946228027344,0.002995729446411133,1.9073486328125e-06,"(150, 100, 200, 150)",relu,"{'hidden_layer_sizes': (150, 100, 200, 150), 'activation': 'relu'}",-0.004129764110860472,-0.005802525017702306,-0.0049661445642813894,0.000836380453420917,118,-0.0032042495965455093,-0.004473194170695405,-0.003838721883620457,0.0006344722870749477
42.744619369506836,0.24661946296691895,0.017597436904907227,0.011490106582641602,"(850,)",tanh,"{'hidden_layer_sizes': (850,), 'activation': 'tanh'}",-0.02794528926029218,-0.029372758734006185,-0.02865902399714918,0.0007137347368570031,1181,-0.027936359833335606,-0.027847450638078954,-0.02789190523570728,4.445459762832636e-05
10.022629141807556,2.2831188440322876,0.00782918930053711,0.0003428459167480469,"(150, 300, 300, 150)",relu,"{'hidden_layer_sizes': (150, 300, 300, 150), 'activation': 'relu'}",-0.004014471374588465,-0.007144473887412958,-0.005579472631000712,0.0015650012564122468,198,-0.0035809025313942038,-0.006179876447450258,-0.004880389489422231,0.0012994869580280272
8.32703185081482,1.8250412940979004,0.004125833511352539,0.0001709461212158203,"(300, 150, 250, 300)",relu,"{'hidden_layer_sizes': (300, 150, 250, 300), 'activation': 'relu'}",-0.004350872201536201,-0.005102124300737126,-0.0047264982511366635,0.0003756260496004622,82,-0.00325253281993186,-0.004393011158090184,-0.003822771989011022,0.0005702391690791619
3.5187973976135254,0.01924443244934082,0.001499772071838379,0.0005003213882446289,"(100, 100, 100, 250)",relu,"{'hidden_layer_sizes': (100, 100, 100, 250), 'activation': 'relu'}",-0.004487091495362981,-0.006062521353636159,-0.00527480642449957,0.000787714929136589,151,-0.003973312929531685,-0.004490762011944814,-0.00423203747073825,0.0002587245412065645
7.416312217712402,1.0080995559692383,0.003470897674560547,0.0005049705505371094,"(100, 300, 300, 100)",relu,"{'hidden_layer_sizes': (100, 300, 300, 100), 'activation': 'relu'}",-0.003078822205557037,-0.004712821019997004,-0.0038958216127770204,0.0008169994072199835,15,-0.0025309032264704094,-0.0037856363646829212,-0.0031582697955766653,0.0006273665691062559
