theta_1,theta_2,theta_3,theta_4
80,72,72,0
105,84,72,12
75,84,96,12
110,84,96,36
115,36,36,12
120,60,96,0
95,60,48,0
100,36,72,60
75,48,60,0
65,48,108,36
120,60,48,12
75,60,72,0
95,12,36,12
115,72,96,0
75,12,24,0
90,72,96,0
80,48,108,36
100,84,84,0
80,36,48,0
95,60,96,60
115,60,84,60
70,84,96,12
100,60,72,0
75,60,84,60
115,60,72,36
95,72,108,12
110,36,36,12
105,48,108,36
110,36,72,48
110,60,96,12
105,48,72,60
110,36,84,48
75,72,84,48
90,96,120,12
95,96,96,12
80,48,84,36
115,84,96,36
105,36,84,48
85,60,96,12
105,72,120,120
95,36,84,48
120,84,96,12
95,0,12,0
100,36,84,60
65,72,72,12
75,48,60,12
65,36,24,12
105,84,84,0
115,12,12,0
90,72,96,36
110,24,72,36
105,36,84,36
100,72,120,0
100,60,48,0
100,24,36,0
70,72,120,0
80,72,96,12
75,48,84,36
115,36,72,12
110,96,120,0
105,36,96,60
85,48,24,0
95,96,120,0
75,60,48,0
115,84,96,12
110,84,72,12
80,48,72,48
120,72,96,60
65,48,72,60
120,36,36,12
90,36,36,12
100,24,72,48
70,24,36,12
115,12,36,12
95,36,24,12
115,36,48,12
70,72,84,12
80,72,96,60
95,84,120,12
115,120,108,0
85,72,96,0
90,120,120,0
70,96,108,12
65,60,96,60
75,36,72,36
110,36,72,36
115,48,84,36
105,96,84,0
120,108,108,0
105,60,84,36
120,36,72,48
110,48,84,60
85,60,84,36
65,108,120,12
70,108,108,0
65,48,72,36
115,108,108,12
115,108,96,0
90,48,72,12
115,12,24,0
110,96,120,12
70,108,120,0
70,120,120,0
110,60,72,12
85,72,84,48
80,48,24,0
90,24,12,0
105,36,72,48
70,48,84,60
100,36,48,0
65,60,84,48
95,48,72,0
105,120,120,12
105,72,108,12
110,60,72,48
105,84,96,12
115,36,24,12
105,36,60,12
110,36,60,12
75,60,72,36
115,120,120,12
85,36,72,60
70,60,84,12
65,48,36,0
65,36,72,12
75,60,96,0
75,48,84,12
95,72,96,0
65,48,84,48
100,12,60,48
95,48,60,0
90,36,84,48
110,48,60,12
80,24,36,0
65,12,24,0
90,48,108,36
65,72,84,12
95,48,48,0
105,72,120,12
85,24,84,60
105,48,84,60
80,60,96,36
110,84,72,0
105,72,84,36
100,24,24,12
115,96,120,0
85,48,36,12
120,60,60,12
70,72,84,0
65,24,96,72
70,36,60,12
80,108,120,12
90,24,36,0
65,96,108,12
65,36,60,12
75,84,84,0
80,72,108,0
120,84,120,0
95,24,72,48
90,84,84,12
105,84,120,12
120,84,84,36
110,48,24,12
65,24,72,60
65,24,36,12
70,24,72,36
80,84,96,0
100,108,120,0
120,120,120,12
115,60,96,12
75,60,60,0
115,48,72,36
80,108,108,0
65,120,120,0
120,60,72,0
100,72,120,12
120,72,108,12
70,36,48,12
75,72,72,12
110,48,48,0
75,60,84,12
120,72,120,12
95,120,120,12
70,36,84,60
95,108,108,0
105,96,96,12
100,48,96,60
65,96,120,12
95,108,108,12
65,48,72,48
65,36,36,0
100,60,84,0
100,96,108,0
100,60,84,60
85,72,96,36
115,72,120,120
80,48,36,12
110,12,12,0
75,36,24,12
100,72,108,0
120,48,96,60
100,12,24,12
75,72,84,0
110,72,84,36
90,84,120,12
95,12,24,0
95,60,96,0
115,48,36,0
100,72,120,120
115,72,108,0
105,72,72,0
80,36,60,12
95,108,120,12
120,24,12,0
105,24,12,0
100,60,36,0
115,72,48,0
80,84,108,12
110,96,84,0
90,72,84,60
75,96,120,12
110,84,96,60
80,72,96,0
90,60,96,0
70,36,72,60
100,36,72,48
85,48,48,12
80,84,96,36
80,96,108,0
105,48,60,0
75,36,48,0
80,0,12,0
80,24,96,72
80,48,72,60
70,48,60,12
80,96,108,12
110,48,72,12
110,72,108,0
80,60,84,60
115,96,120,12
110,48,72,48
65,36,96,60
70,24,72,48
95,48,72,60
85,84,96,0
85,36,60,12
75,24,36,0
90,96,96,0
120,120,108,0
70,72,72,12
115,72,96,60
85,84,96,12
75,48,96,60
80,60,72,48
110,60,84,60
65,24,84,60
75,48,36,12
70,60,60,12
80,60,96,60
95,48,60,12
75,60,96,60
120,60,84,48
95,72,84,48
85,60,72,0
110,84,108,12
120,36,84,48
120,84,96,0
100,60,108,12
110,72,72,12
80,12,24,0
120,72,60,0
90,72,84,48
90,60,60,0
95,48,72,48
110,24,36,12
80,48,36,0
105,36,24,12
105,60,72,60
80,36,12,0
105,72,120,0
80,24,72,60
65,60,84,0
80,84,84,0
100,60,96,60
95,84,96,12
70,36,84,48
120,72,120,0
75,48,72,12
105,24,36,12
80,36,72,36
100,36,36,12
70,24,24,0
90,12,12,0
120,96,108,0
75,72,72,0
75,0,12,0
115,36,84,60
65,36,24,0
75,72,60,0
110,84,84,12
105,24,72,48
65,60,108,12
120,72,60,12
80,12,24,12
120,24,72,60
75,60,96,12
100,60,84,48
80,60,48,12
100,84,120,12
65,60,84,60
90,36,48,12
65,72,96,12
100,36,60,12
95,84,84,0
65,60,72,0
95,108,96,0
105,72,60,12
85,120,120,0
105,48,96,60
85,24,72,36
70,84,84,0
115,72,60,12
105,24,24,12
115,36,72,60
115,24,72,48
70,48,72,0
120,96,108,12
105,48,72,36
120,48,36,0
75,96,120,0
110,108,96,0
100,84,96,0
115,48,24,12
100,36,36,0
110,60,48,0
85,48,72,12
100,84,120,0
80,36,84,60
85,48,84,60
85,48,96,36
90,108,108,0
110,24,96,72
105,60,96,36
115,120,120,0
105,60,96,0
65,48,96,60
100,84,96,12
90,24,72,60
115,96,108,12
70,60,96,0
95,48,84,36
80,84,108,0
85,72,108,0
90,120,120,12
80,96,120,12
105,60,84,48
110,72,72,36
120,36,60,0
95,24,24,12
70,84,120,0
75,48,84,0
90,48,72,36
115,60,48,0
90,96,84,0
70,60,96,12
115,36,60,12
90,24,36,12
90,48,72,48
120,60,96,60
120,72,48,0
70,36,72,48
65,108,108,0
115,72,120,0
80,48,84,60
70,36,60,0
105,48,24,0
110,120,120,12
90,96,108,0
85,48,108,36
70,12,24,12
65,72,120,12
120,84,72,0
100,72,60,0
105,60,48,0
90,96,108,12
70,12,60,48
100,48,84,12
105,24,24,0
75,48,84,48
105,60,84,0
120,60,84,0
100,48,36,12
95,48,72,12
65,84,108,0
105,72,96,60
75,84,96,0
90,72,96,12
85,96,108,0
115,96,84,0
100,108,96,0
95,36,48,12
85,48,72,60
65,60,60,12
65,48,72,12
115,96,96,12
95,72,72,12
90,60,60,12
110,60,48,12
115,60,96,60
90,48,36,0
65,72,120,0
115,36,72,48
110,24,72,60
105,48,84,48
90,108,120,12
65,96,96,0
80,48,84,48
85,60,72,12
120,60,72,12
100,24,48,0
85,60,48,0
85,108,108,12
95,96,108,12
120,60,108,12
70,36,84,36
95,48,48,12
65,24,48,0
100,36,72,12
70,12,36,12
110,36,48,12
110,24,24,12
115,60,96,36
80,84,84,12
80,48,72,0
90,48,84,48
90,84,96,0
90,84,96,12
100,60,96,12
105,60,60,12
120,60,72,36
100,36,24,0
115,72,60,0
100,96,120,0
120,60,96,36
115,72,84,36
110,48,84,0
75,36,60,0
80,48,48,0
120,24,24,0
105,12,24,0
115,84,120,12
65,24,36,0
110,84,120,0
100,48,72,0
105,108,120,0
95,72,120,0
120,48,84,48
120,36,84,36
110,108,108,0
115,48,48,0
85,84,108,0
105,108,108,0
75,36,36,0
115,36,60,0
65,36,60,0
90,72,72,36
85,0,12,0
120,72,84,60
70,96,120,12
85,84,96,36
75,12,60,48
65,72,84,36
115,84,72,0
80,72,84,48
110,72,120,12
80,72,120,12
100,48,84,48
65,72,84,0
70,48,36,12
115,96,96,0
100,48,48,12
100,36,84,36
70,84,108,0
85,36,48,12
85,48,48,0
80,60,108,12
85,24,12,0
115,60,36,0
70,36,36,12
110,48,84,36
115,60,72,60
115,48,72,12
75,24,84,60
120,24,24,12
80,36,36,0
105,48,72,48
85,36,24,12
110,48,96,60
120,48,72,60
105,12,24,12
65,60,72,12
120,48,72,0
115,36,48,0
80,60,60,0
95,96,108,0
100,60,60,12
100,48,60,12
100,12,12,0
110,24,72,48
65,72,96,60
90,24,24,12
120,60,84,60
90,60,84,36
75,36,24,0
115,36,12,0
70,48,72,12
115,12,60,48
115,24,12,0
110,60,72,36
105,24,72,36
105,0,12,0
70,48,60,0
110,120,120,0
100,48,84,0
